rollout/ep_len_mean,custom/win_rate,custom/loss_rate,time/time_elapsed,time/total_timesteps,time/fps,time/iterations,custom/tie_rate,rollout/ep_rew_mean,train/policy_gradient_loss,train/loss,train/n_updates,train/clip_fraction,train/explained_variance,train/entropy_loss,train/learning_rate,train/value_loss,train/approx_kl,train/clip_range,eval/mean_reward,eval/mean_ep_length
1.28,0.324,0.6265,3,16384,4100,1,0.0495,-0.295,,,,,,,,,,,,
1.3,0.3255,0.6185,8,32768,3648,2,0.056,-0.345,-0.007940211551613174,0.7642470598220825,4,0.0037384033203125,0.0022109150886535645,-1.027317851781845,0.0001,1.7612907625734806,0.0046663396,0.2,,
,0.3195,0.6335,,40000,,,0.047,,-0.015905003900115844,0.72538161277771,8,0.151336669921875,0.05298513174057007,-1.0032168254256248,0.0001,1.62340097874403,0.017717836,0.2,-0.157,1.0
1.28,0.326,0.624,14,49152,3467,3,0.05,-0.58,,,,,,,,,,,,
1.21,0.3455,0.5955,19,65536,3418,4,0.059,-0.57,-0.01600426081859041,0.6900568008422852,12,0.16461181640625,0.050289273262023926,-0.9580392241477966,0.0001,1.490330409258604,0.021604028,0.2,,
,0.3855,0.5735,,80000,,,0.041,,-0.014173317951645004,0.6360478401184082,16,0.1085968017578125,0.06527018547058105,-0.880537498742342,0.0001,1.3873899653553963,0.018591633,0.2,-0.129,1.0
1.19,0.3775,0.578,24,81920,3363,5,0.0445,-0.155,,,,,,,,,,,,
1.14,0.357,0.5885,29,98304,3363,6,0.0545,-0.28,-0.011006974717020057,0.6002832055091858,20,0.0744476318359375,0.0729944109916687,-0.7854590117931366,0.0001,1.3000075183808804,0.012885666,0.2,,
1.06,0.3625,0.5875,34,114688,3346,7,0.05,-0.005,-0.008700195699930191,0.5483414530754089,24,0.0490264892578125,0.0847596526145935,-0.7018193397670984,0.0001,1.2128291837871075,0.008327151,0.2,,
,0.352,0.6015,,120000,,,0.0465,,-0.007937081103591481,0.5257914662361145,28,0.0322723388671875,0.1002013087272644,-0.6286253836005926,0.0001,1.164303820580244,0.0043473677,0.2,-0.132,1.0
1.09,0.368,0.5745,39,131072,3317,8,0.0575,-0.16,,,,,,,,,,,,
1.13,0.3765,0.579,43,147456,3351,9,0.0445,-0.16,-0.005759978281275835,0.5089449882507324,32,0.0183868408203125,0.10717171430587769,-0.5788411200046539,0.0001,1.0776878856122494,0.0030416334,0.2,,
,0.3715,0.575,,160000,,,0.0535,,-0.006199378774908837,0.48635032773017883,36,0.0188446044921875,0.11707550287246704,-0.5253271134570241,0.0001,1.036866208538413,0.002455093,0.2,-0.128,1.0
1.06,0.362,0.579,49,163840,3343,10,0.059,-0.295,,,,,,,,,,,,
1.04,0.386,0.57,53,180224,3347,11,0.044,-0.22,-0.003826551910606213,0.4716465473175049,40,0.0079345703125,0.12072515487670898,-0.48989548347890377,0.0001,1.0193910878151655,0.001904492,0.2,,
1.04,0.374,0.565,58,196608,3356,12,0.061,-0.04,-0.0002529357880121097,0.4666365683078766,44,0.00311279296875,0.13419651985168457,-0.4960613530129194,0.0001,0.9811900202184916,0.0011847841,0.2,,
,0.384,0.5635,,200000,,,0.0525,,-0.002984116530569736,0.45416367053985596,48,0.00384521484375,0.13536667823791504,-0.478380904532969,0.0001,0.9616763424128294,0.0015448594,0.2,-0.153,1.0
1.07,0.3815,0.5645,63,212992,3353,13,0.054,-0.195,,,,,,,,,,,,
1.1,0.377,0.572,68,229376,3355,14,0.051,-0.18,-0.00109850472654216,0.4496443271636963,52,0.0009765625,0.12499135732650757,-0.4723257012665272,0.0001,0.9787411689758301,0.00066729274,0.2,,
